data_length : 4033        min_support_num : 201 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 1     1.000        ['name:zh_pinyin']=>['name']
 2     1.000        ['name:zh', 'name:zh_pinyin']=>['name']
 3     1.000        ['name:en', 'name:zh_pinyin']=>['name']
 4     1.000        ['name:zh_pinyin', 'oneway']=>['name']
 5     1.000        ['name:zh', 'name:en']=>['name']
 6     1.000        ['name:en', 'name:zh_pinyin', 'oneway']=>['name']
 7     1.000        ['name:zh', 'name:en', 'oneway']=>['name']
 8     0.999        ['name:en']=>['name']
 9     0.999        ['name:en', 'oneway']=>['name']
 10    0.998        ['int_name']=>['name']
 11    0.997        ['int_name', 'oneway']=>['name']
 12    0.993        ['name:zh', 'oneway']=>['name']
 13    0.977        ['name:zh']=>['name']
 14    0.952        ['name:en', 'name:zh_pinyin']=>['oneway']
 15    0.952        ['name', 'name:en', 'name:zh_pinyin']=>['oneway']
 16    0.952        ['name:en', 'name:zh_pinyin']=>['name', 'oneway']
 17    0.943        ['name:zh_pinyin']=>['oneway']
 18    0.943        ['name', 'name:zh_pinyin']=>['oneway']
 19    0.943        ['name:zh_pinyin']=>['name', 'oneway']
 20    0.891        ['name:zh', 'name:en']=>['oneway']
 21    0.891        ['name', 'name:zh', 'name:en']=>['oneway']
 22    0.891        ['name:zh', 'name:en']=>['name', 'oneway']
 23    0.885        ['int_name']=>['oneway']
 24    0.884        ['name', 'int_name']=>['oneway']
 25    0.882        ['int_name']=>['name', 'oneway']
 26    0.881        ['layer', 'oneway']=>['bridge']
 27    0.881        ['name', 'name:zh']=>['oneway']
 28    0.875        ['layer']=>['bridge']
 29    0.868        ['name:zh']=>['oneway']
 30    0.861        ['name:zh']=>['name', 'oneway']
 31    0.855        ['lanes']=>['oneway']
 32    0.854        ['name', 'name:zh', 'oneway']=>['name:en']
 33    0.848        ['name', 'lanes']=>['oneway']
 34    0.848        ['name:zh', 'oneway']=>['name:en']
 35    0.848        ['name:zh', 'oneway']=>['name', 'name:en']
 36    0.845        ['name', 'name:zh']=>['name:en']
 37    0.839        ['name:en']=>['oneway']
 38    0.839        ['name', 'name:en']=>['oneway']
 39    0.838        ['name:en']=>['name', 'oneway']
 40    0.826        ['name:zh']=>['name:en']
 41    0.826        ['name:zh']=>['name', 'name:en']
 42    0.820        ['bridge']=>['layer']
 43    0.814        ['bridge', 'oneway']=>['layer']
 44    0.770        ['name:zh_pinyin', 'oneway']=>['name:en']
 45    0.770        ['name', 'name:zh_pinyin', 'oneway']=>['name:en']
 46    0.770        ['name:zh_pinyin', 'oneway']=>['name', 'name:en']
 47    0.763        ['name:zh_pinyin']=>['name:en']
 48    0.763        ['name', 'name:zh_pinyin']=>['name:en']
 49    0.763        ['name:zh_pinyin']=>['name', 'name:en']
 50    0.756        ['lanes']=>['name']
 51    0.752        ['name', 'name:zh']=>['name:en', 'oneway']
