data_length : 3468        min_support_num : 433 
min_support : 12.50%      min_conf : 82.50% 

index  confidence   rules
 1     1.000        ['1', 'bridge']=>['layer']
 2     1.000        ['yes', '1', 'bridge']=>['layer']
 3     0.998        ['bridge']=>['yes']
 4     0.998        ['1', 'layer']=>['yes']
 5     0.998        ['layer', 'bridge']=>['yes']
 6     0.998        ['1', 'bridge']=>['yes']
 7     0.998        ['bridge', '1', 'layer']=>['yes']
 8     0.998        ['1', 'bridge']=>['yes', 'layer']
 9     0.996        ['layer']=>['yes']
 10    0.992        ['oneway']=>['yes']
 11    0.989        ['bridge', 'layer']=>['1']
 12    0.989        ['bridge', 'yes', 'layer']=>['1']
 13    0.988        ['1']=>['yes']
 14    0.987        ['bridge', 'layer']=>['yes', '1']
 15    0.984        ['lanes', 'oneway']=>['yes']
 16    0.975        ['yes', '1']=>['layer']
 17    0.966        ['1', 'layer']=>['bridge']
 18    0.966        ['yes', '1', 'layer']=>['bridge']
 19    0.965        ['1']=>['layer']
 20    0.964        ['1', 'layer']=>['yes', 'bridge']
 21    0.963        ['1']=>['yes', 'layer']
 22    0.942        ['yes', '1']=>['bridge']
 23    0.942        ['yes', '1']=>['bridge', 'layer']
 24    0.932        ['1']=>['bridge']
 25    0.932        ['1']=>['bridge', 'layer']
 26    0.930        ['1']=>['yes', 'bridge']
 27    0.930        ['1']=>['bridge', 'yes', 'layer']
 28    0.922        ['lanes', 'yes']=>['oneway']
 29    0.913        ['lanes']=>['yes']
 30    0.897        ['yes', 'layer']=>['1']
 31    0.895        ['layer']=>['1']
 32    0.894        ['layer']=>['yes', '1']
 33    0.876        ['yes', 'layer']=>['bridge']
 34    0.875        ['layer']=>['bridge']
 35    0.873        ['layer']=>['yes', 'bridge']
 36    0.866        ['yes', 'layer']=>['1', 'bridge']
 37    0.865        ['layer']=>['1', 'bridge']
 38    0.863        ['layer']=>['yes', '1', 'bridge']
 39    0.855        ['lanes']=>['oneway']
 40    0.841        ['lanes']=>['yes', 'oneway']
