data_length : 4228        min_support_num : 1057 
min_support : 25.00%      min_conf : 95.00% 

index  confidence   rules
 1     1.000        ['lanes']=>['oneway']
 2     1.000        ['lanes', 'layer']=>['oneway']
 3     1.000        ['lanes', 'bridge']=>['oneway']
 4     1.000        ['lanes', 'bridge', 'layer']=>['oneway']
 5     0.996        ['layer']=>['oneway']
 6     0.995        ['bridge']=>['oneway']
 7     0.995        ['bridge', 'layer']=>['oneway']
 8     0.983        ['lanes', 'bridge']=>['layer']
 9     0.983        ['lanes', 'bridge', 'oneway']=>['layer']
 10    0.983        ['lanes', 'bridge']=>['oneway', 'layer']
 11    0.977        ['bridge']=>['layer']
 12    0.977        ['bridge', 'oneway']=>['layer']
 13    0.972        ['bridge']=>['oneway', 'layer']
