data_length : 4228        min_support_num : 1057 
min_support : 25.00%      min_conf : 95.00% 

index  confidence   rules
 1     1.000        ['bridge']=>['yes']
 2     1.000        ['layer']=>['yes']
 3     1.000        ['lanes']=>['oneway']
 4     1.000        ['1']=>['layer']
 5     1.000        ['1']=>['yes']
 6     1.000        ['lanes', 'layer']=>['oneway']
 7     1.000        ['lanes', 'yes']=>['oneway']
 8     1.000        ['bridge', 'oneway']=>['yes']
 9     1.000        ['lanes', '2']=>['oneway']
 10    1.000        ['lanes', '3']=>['oneway']
 11    1.000        ['3', 'oneway']=>['lanes']
 12    1.000        ['lanes', 'bridge']=>['yes']
 13    1.000        ['lanes', 'layer']=>['yes']
 14    1.000        ['yes', '3']=>['oneway']
 15    1.000        ['3', 'oneway']=>['yes']
 16    1.000        ['lanes', '1']=>['oneway']
 17    1.000        ['lanes', '1']=>['layer']
 18    1.000        ['lanes', '1']=>['yes']
 19    1.000        ['bridge', 'layer']=>['yes']
 20    1.000        ['1', 'oneway']=>['yes']
 21    1.000        ['1', 'oneway']=>['layer']
 22    1.000        ['1', 'bridge']=>['layer']
 23    1.000        ['1', 'bridge']=>['yes']
 24    1.000        ['2', 'yes']=>['oneway']
 25    1.000        ['yes', '3']=>['lanes']
 26    1.000        ['lanes', '3']=>['yes']
 27    1.000        ['lanes', 'bridge']=>['oneway']
 28    1.000        ['layer', 'oneway']=>['yes']
 29    1.000        ['yes', '1']=>['layer']
 30    1.000        ['1', 'layer']=>['yes']
 31    1.000        ['1']=>['yes', 'layer']
 32    1.000        ['lanes', 'bridge', 'layer']=>['oneway']
 33    1.000        ['lanes', 'yes', 'bridge']=>['oneway']
 34    1.000        ['lanes', 'bridge', 'oneway']=>['yes']
 35    1.000        ['lanes', 'bridge']=>['yes', 'oneway']
 36    1.000        ['bridge', 'layer', 'oneway']=>['yes']
 37    1.000        ['lanes', '1', 'bridge']=>['yes']
 38    1.000        ['lanes', '1', 'bridge']=>['oneway']
 39    1.000        ['yes', '1', 'oneway']=>['layer']
 40    1.000        ['oneway', '1', 'layer']=>['yes']
 41    1.000        ['1', 'oneway']=>['yes', 'layer']
 42    1.000        ['lanes', '1', 'bridge']=>['layer']
 43    1.000        ['lanes', '2', 'yes']=>['oneway']
 44    1.000        ['lanes', 'yes', '1']=>['oneway']
 45    1.000        ['lanes', '1', 'oneway']=>['yes']
 46    1.000        ['lanes', '1']=>['yes', 'oneway']
 47    1.000        ['lanes', 'bridge', 'layer']=>['yes']
 48    1.000        ['lanes', 'yes', 'layer']=>['oneway']
 49    1.000        ['lanes', 'layer', 'oneway']=>['yes']
 50    1.000        ['lanes', 'layer']=>['yes', 'oneway']
 51    1.000        ['bridge', '1', 'oneway']=>['yes']
 52    1.000        ['yes', '1', 'bridge']=>['layer']
 53    1.000        ['bridge', '1', 'layer']=>['yes']
 54    1.000        ['1', 'bridge']=>['yes', 'layer']
 55    1.000        ['lanes', 'yes', '3']=>['oneway']
 56    1.000        ['yes', '3', 'oneway']=>['lanes']
 57    1.000        ['lanes', '3', 'oneway']=>['yes']
 58    1.000        ['3', 'oneway']=>['lanes', 'yes']
 59    1.000        ['yes', '3']=>['lanes', 'oneway']
 60    1.000        ['lanes', '3']=>['yes', 'oneway']
 61    1.000        ['lanes', '1', 'layer']=>['oneway']
 62    1.000        ['lanes', '1', 'oneway']=>['layer']
 63    1.000        ['lanes', '1']=>['oneway', 'layer']
 64    1.000        ['lanes', 'yes', '1']=>['layer']
 65    1.000        ['lanes', '1', 'layer']=>['yes']
 66    1.000        ['lanes', '1']=>['yes', 'layer']
 67    1.000        ['bridge', '1', 'oneway']=>['layer']
 68    1.000        ['lanes', 'bridge', 'yes', 'layer']=>['oneway']
 69    1.000        ['lanes', 'bridge', 'oneway', 'layer']=>['yes']
 70    1.000        ['lanes', 'bridge', 'layer']=>['yes', 'oneway']
 71    1.000        ['lanes', 'yes', '1', 'bridge']=>['layer']
 72    1.000        ['lanes', 'bridge', '1', 'layer']=>['yes']
 73    1.000        ['lanes', '1', 'bridge']=>['yes', 'layer']
 74    1.000        ['oneway', 'yes', '1', 'bridge']=>['layer']
 75    1.000        ['bridge', 'oneway', '1', 'layer']=>['yes']
 76    1.000        ['oneway', '1', 'bridge']=>['yes', 'layer']
 77    1.000        ['lanes', 'yes', '1', 'layer']=>['oneway']
 78    1.000        ['lanes', 'yes', '1', 'oneway']=>['layer']
 79    1.000        ['lanes', 'oneway', '1', 'layer']=>['yes']
 80    1.000        ['lanes', '1', 'oneway']=>['yes', 'layer']
 81    1.000        ['lanes', 'yes', '1']=>['oneway', 'layer']
 82    1.000        ['lanes', '1', 'layer']=>['yes', 'oneway']
 83    1.000        ['lanes', '1']=>['oneway', 'yes', 'layer']
 84    1.000        ['lanes', 'yes', '1', 'bridge']=>['oneway']
 85    1.000        ['lanes', 'oneway', '1', 'bridge']=>['yes']
 86    1.000        ['lanes', '1', 'bridge']=>['yes', 'oneway']
 87    1.000        ['lanes', 'bridge', '1', 'layer']=>['oneway']
 88    1.000        ['lanes', 'oneway', '1', 'bridge']=>['layer']
 89    1.000        ['lanes', '1', 'bridge']=>['oneway', 'layer']
 90    1.000        ['lanes', '1', 'layer', 'bridge', 'yes']=>['oneway']
 91    1.000        ['lanes', '1', 'bridge', 'yes', 'oneway']=>['layer']
 92    1.000        ['lanes', '1', 'layer', 'bridge', 'oneway']=>['yes']
 93    1.000        ['lanes', 'oneway', '1', 'bridge']=>['yes', 'layer']
 94    1.000        ['lanes', 'yes', '1', 'bridge']=>['oneway', 'layer']
 95    1.000        ['layer', 'lanes', '1', 'bridge']=>['yes', 'oneway']
 96    1.000        ['lanes', '1', 'bridge']=>['oneway', 'yes', 'layer']
 97    0.998        ['2', 'oneway']=>['yes']
 98    0.998        ['lanes', '2']=>['yes']
 99    0.998        ['lanes', '2', 'oneway']=>['yes']
 100   0.998        ['lanes', '2']=>['yes', 'oneway']
 101   0.997        ['oneway']=>['yes']
 102   0.997        ['lanes']=>['yes']
 103   0.997        ['lanes', 'oneway']=>['yes']
 104   0.997        ['lanes']=>['yes', 'oneway']
 105   0.996        ['layer']=>['oneway']
 106   0.996        ['yes', 'layer']=>['oneway']
 107   0.996        ['layer']=>['yes', 'oneway']
 108   0.995        ['bridge']=>['oneway']
 109   0.995        ['yes', 'bridge']=>['oneway']
 110   0.995        ['bridge']=>['yes', 'oneway']
 111   0.995        ['1']=>['oneway']
 112   0.995        ['yes', '1']=>['oneway']
 113   0.995        ['1']=>['yes', 'oneway']
 114   0.995        ['1', 'layer']=>['oneway']
 115   0.995        ['1']=>['oneway', 'layer']
 116   0.995        ['yes', '1', 'layer']=>['oneway']
 117   0.995        ['yes', '1']=>['oneway', 'layer']
 118   0.995        ['1', 'layer']=>['yes', 'oneway']
 119   0.995        ['1']=>['oneway', 'yes', 'layer']
 120   0.995        ['bridge', 'layer']=>['oneway']
 121   0.995        ['bridge', 'yes', 'layer']=>['oneway']
 122   0.995        ['bridge', 'layer']=>['yes', 'oneway']
 123   0.995        ['3']=>['lanes']
 124   0.995        ['3']=>['oneway']
 125   0.995        ['3']=>['yes']
 126   0.995        ['3']=>['lanes', 'oneway']
 127   0.995        ['3']=>['yes', 'oneway']
 128   0.995        ['3']=>['lanes', 'yes']
 129   0.995        ['3']=>['lanes', 'yes', 'oneway']
 130   0.995        ['1', 'bridge']=>['oneway']
 131   0.995        ['yes', '1', 'bridge']=>['oneway']
 132   0.995        ['1', 'bridge']=>['yes', 'oneway']
 133   0.995        ['bridge', '1', 'layer']=>['oneway']
 134   0.995        ['1', 'bridge']=>['oneway', 'layer']
 135   0.995        ['bridge', 'yes', '1', 'layer']=>['oneway']
 136   0.995        ['yes', '1', 'bridge']=>['oneway', 'layer']
 137   0.995        ['bridge', '1', 'layer']=>['yes', 'oneway']
 138   0.995        ['1', 'bridge']=>['oneway', 'yes', 'layer']
 139   0.991        ['2']=>['oneway']
 140   0.989        ['2']=>['yes']
 141   0.989        ['2']=>['yes', 'oneway']
 142   0.988        ['2', 'oneway']=>['lanes']
 143   0.988        ['2', 'yes']=>['lanes']
 144   0.988        ['2', 'yes', 'oneway']=>['lanes']
 145   0.988        ['2', 'yes']=>['lanes', 'oneway']
 146   0.986        ['2', 'oneway']=>['lanes', 'yes']
 147   0.983        ['lanes', 'bridge']=>['layer']
 148   0.983        ['lanes', 'bridge', 'oneway']=>['layer']
 149   0.983        ['lanes', 'bridge']=>['oneway', 'layer']
 150   0.983        ['lanes', 'yes', 'bridge']=>['layer']
