data_length : 457         min_support_num : 11 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 1     1.000        ['segregated']=>['bicycle']
 2     1.000        ['two_sided']=>['historic']
 3     1.000        ['historic']=>['barrier']
 4     1.000        ['barrier']=>['historic']
 5     1.000        ['segregated']=>['foot']
 6     1.000        ['two_sided']=>['barrier']
 7     1.000        ['foot', 'segregated']=>['bicycle']
 8     1.000        ['segregated', 'bicycle']=>['foot']
 9     1.000        ['segregated']=>['foot', 'bicycle']
 10    1.000        ['historic', 'two_sided']=>['barrier']
 11    1.000        ['barrier', 'two_sided']=>['historic']
 12    1.000        ['two_sided']=>['barrier', 'historic']
 13    1.000        ['source', 'two_sided']=>['historic']
 14    1.000        ['source', 'two_sided']=>['barrier']
 15    1.000        ['source', 'historic']=>['barrier']
 16    1.000        ['barrier', 'source']=>['historic']
 17    1.000        ['source', 'historic', 'two_sided']=>['barrier']
 18    1.000        ['barrier', 'source', 'two_sided']=>['historic']
 19    1.000        ['source', 'two_sided']=>['barrier', 'historic']
 20    0.913        ['historic']=>['two_sided']
 21    0.913        ['barrier']=>['two_sided']
 22    0.913        ['barrier', 'historic']=>['two_sided']
 23    0.913        ['barrier']=>['historic', 'two_sided']
 24    0.913        ['historic']=>['barrier', 'two_sided']
 25    0.857        ['foot', 'bicycle']=>['segregated']
 26    0.846        ['source', 'historic']=>['two_sided']
 27    0.846        ['barrier', 'source']=>['two_sided']
 28    0.846        ['barrier', 'source', 'historic']=>['two_sided']
 29    0.846        ['barrier', 'source']=>['historic', 'two_sided']
 30    0.846        ['source', 'historic']=>['barrier', 'two_sided']
 31    0.789        ['layer']=>['bridge']
