data_length : 738         min_support_num : 18 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 1     1.000        ['bridge']=>['yes']
 2     1.000        ['bing']=>['source']
 3     1.000        ['segregated']=>['no']
 4     1.000        ['bad']=>['trail_visibility']
 5     1.000        ['city_wall']=>['barrier']
 6     1.000        ['barrier']=>['city_wall']
 7     1.000        ['two_sided']=>['yes']
 8     1.000        ['hiking']=>['sac_scale']
 9     1.000        ['citywalls']=>['historic']
 10    1.000        ['historic']=>['citywalls']
 11    0.862        ['source']=>['bing']
