data_length : 457         min_support_num : 34 
min_support : 7.50%       min_conf : 77.50% 

index  confidence   rules
 1     1.000        ['segregated']=>['designated']
 2     1.000        ['bing']=>['source']
 3     1.000        ['segregated']=>['bicycle']
 4     1.000        ['segregated']=>['no']
 5     1.000        ['segregated']=>['foot']
 6     1.000        ['foot', 'segregated']=>['bicycle']
 7     1.000        ['segregated', 'bicycle']=>['foot']
 8     1.000        ['segregated']=>['foot', 'bicycle']
 9     1.000        ['designated', 'bicycle']=>['no']
 10    1.000        ['designated', 'no']=>['bicycle']
 11    1.000        ['foot', 'segregated']=>['designated']
 12    1.000        ['designated', 'segregated']=>['foot']
 13    1.000        ['segregated']=>['foot', 'designated']
 14    1.000        ['foot', 'segregated']=>['no']
 15    1.000        ['no', 'segregated']=>['foot']
 16    1.000        ['segregated']=>['foot', 'no']
 17    1.000        ['segregated', 'bicycle']=>['no']
 18    1.000        ['no', 'segregated']=>['bicycle']
 19    1.000        ['segregated']=>['no', 'bicycle']
 20    1.000        ['designated', 'no']=>['foot']
 21    1.000        ['designated', 'bicycle']=>['segregated']
 22    1.000        ['segregated', 'bicycle']=>['designated']
 23    1.000        ['designated', 'segregated']=>['bicycle']
 24    1.000        ['segregated']=>['designated', 'bicycle']
 25    1.000        ['no', 'designated']=>['segregated']
 26    1.000        ['no', 'segregated']=>['designated']
 27    1.000        ['designated', 'segregated']=>['no']
 28    1.000        ['segregated']=>['designated', 'no']
 29    1.000        ['designated', 'bicycle']=>['foot']
 30    1.000        ['no', 'bicycle', 'designated']=>['segregated']
 31    1.000        ['no', 'segregated', 'bicycle']=>['designated']
 32    1.000        ['designated', 'segregated', 'bicycle']=>['no']
 33    1.000        ['no', 'segregated', 'designated']=>['bicycle']
 34    1.000        ['no', 'designated']=>['segregated', 'bicycle']
 35    1.000        ['designated', 'bicycle']=>['no', 'segregated']
 36    1.000        ['segregated', 'bicycle']=>['designated', 'no']
 37    1.000        ['designated', 'segregated']=>['no', 'bicycle']
 38    1.000        ['no', 'segregated']=>['designated', 'bicycle']
 39    1.000        ['segregated']=>['designated', 'bicycle', 'no']
 40    1.000        ['foot', 'no', 'designated']=>['segregated']
 41    1.000        ['foot', 'no', 'segregated']=>['designated']
 42    1.000        ['foot', 'designated', 'segregated']=>['no']
 43    1.000        ['no', 'segregated', 'designated']=>['foot']
 44    1.000        ['designated', 'segregated']=>['foot', 'no']
 45    1.000        ['foot', 'segregated']=>['designated', 'no']
 46    1.000        ['no', 'designated']=>['foot', 'segregated']
 47    1.000        ['no', 'segregated']=>['foot', 'designated']
 48    1.000        ['segregated']=>['foot', 'designated', 'no']
