data_length : 3011        min_support_num : 150 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 1     0.988        ['lanes']=>['oneway']
 2     0.984        ['layer', 'bridge']=>['oneway']
 3     0.983        ['source']=>['oneway']
 4     0.983        ['bridge']=>['oneway']
 5     0.983        ['layer']=>['oneway']
 6     0.982        ['layer', 'oneway']=>['bridge']
 7     0.981        ['layer']=>['bridge']
 8     0.973        ['oneway', 'bridge']=>['layer']
 9     0.972        ['bridge']=>['layer']
 10    0.965        ['layer']=>['oneway', 'bridge']
 11    0.956        ['bridge']=>['oneway', 'layer']
