data_length : 3011        min_support_num : 677 
min_support : 22.50%      min_conf : 92.50% 

index  confidence   rules
 1     1.000        ['bridge']=>['yes']
 2     1.000        ['bridge', 'oneway']=>['yes']
 3     1.000        ['1', 'bridge']=>['yes']
 4     1.000        ['layer', 'bridge']=>['yes']
 5     1.000        ['layer', 'oneway']=>['yes']
 6     1.000        ['layer', '1', 'bridge']=>['yes']
 7     1.000        ['layer', '1', 'oneway']=>['yes']
 8     1.000        ['oneway', 'layer', 'bridge']=>['yes']
 9     0.999        ['layer']=>['yes']
 10    0.999        ['1', 'layer']=>['yes']
 11    0.997        ['1', 'bridge']=>['layer']
 12    0.997        ['yes', '1', 'bridge']=>['layer']
 13    0.997        ['1', 'bridge']=>['yes', 'layer']
 14    0.991        ['yes', '1', 'layer']=>['bridge']
 15    0.990        ['1', 'oneway']=>['yes']
 16    0.990        ['1', 'layer']=>['bridge']
 17    0.990        ['1', 'layer']=>['yes', 'bridge']
 18    0.985        ['yes', '1']=>['oneway']
 19    0.984        ['yes', 'layer']=>['oneway']
 20    0.984        ['layer', 'bridge']=>['oneway']
 21    0.984        ['yes', 'layer', 'bridge']=>['oneway']
 22    0.984        ['layer', 'bridge']=>['yes', 'oneway']
 23    0.983        ['bridge']=>['oneway']
 24    0.983        ['yes', 'bridge']=>['oneway']
 25    0.983        ['bridge']=>['yes', 'oneway']
 26    0.983        ['yes', '1', 'layer']=>['oneway']
 27    0.983        ['layer']=>['oneway']
 28    0.983        ['layer']=>['yes', 'oneway']
 29    0.983        ['yes', 'layer']=>['bridge']
 30    0.982        ['layer', 'oneway']=>['bridge']
 31    0.982        ['yes', 'layer', 'oneway']=>['bridge']
 32    0.982        ['layer', 'oneway']=>['yes', 'bridge']
 33    0.981        ['layer']=>['bridge']
 34    0.981        ['layer']=>['yes', 'bridge']
 35    0.981        ['1', 'layer']=>['oneway']
 36    0.981        ['1', 'layer']=>['yes', 'oneway']
 37    0.979        ['oneway']=>['yes']
 38    0.973        ['oneway', 'bridge']=>['layer']
 39    0.973        ['oneway', 'yes', 'bridge']=>['layer']
 40    0.973        ['oneway', 'bridge']=>['yes', 'layer']
 41    0.972        ['bridge']=>['layer']
 42    0.972        ['yes', 'bridge']=>['layer']
 43    0.972        ['bridge']=>['yes', 'layer']
 44    0.967        ['yes', 'layer']=>['oneway', 'bridge']
 45    0.965        ['layer']=>['oneway', 'bridge']
 46    0.965        ['layer']=>['oneway', 'yes', 'bridge']
 47    0.956        ['bridge']=>['oneway', 'layer']
 48    0.956        ['yes', 'bridge']=>['oneway', 'layer']
 49    0.956        ['bridge']=>['oneway', 'yes', 'layer']
 50    0.943        ['1']=>['yes']
 51    0.939        ['1']=>['oneway']
 52    0.935        ['layer', 'bridge']=>['1']
 53    0.935        ['yes', 'layer', 'bridge']=>['1']
 54    0.935        ['layer', 'bridge']=>['yes', '1']
 55    0.929        ['1']=>['yes', 'oneway']
 56    0.926        ['layer']=>['1']
 57    0.926        ['yes', 'layer']=>['1']
 58    0.925        ['layer', 'oneway']=>['1']
 59    0.925        ['yes', 'layer', 'oneway']=>['1']
 60    0.925        ['layer', 'oneway']=>['yes', '1']
 61    0.925        ['layer']=>['yes', '1']
