data_length : 1904        min_support_num : 476 
min_support : 25.00%      min_conf : 95.00% 

index  confidence   rules
 1     1.000        ['private']=>['access']
 2     1.000        ['access']=>['private']
 3     1.000        ['in the depot/yard']=>['description']
 4     1.000        ['description']=>['in the depot/yard']
 5     1.000        ['in the depot/yard']=>['private']
 6     1.000        ['description']=>['private']
 7     1.000        ['description']=>['access']
 8     1.000        ['traffic_signals']=>['crossing']
 9     1.000        ['in the depot/yard']=>['access']
 10    1.000        ['in the depot/yard', 'private']=>['description']
 11    1.000        ['description', 'private']=>['in the depot/yard']
 12    1.000        ['in the depot/yard', 'description']=>['private']
 13    1.000        ['description']=>['in the depot/yard', 'private']
 14    1.000        ['in the depot/yard']=>['description', 'private']
 15    1.000        ['in the depot/yard', 'private']=>['access']
 16    1.000        ['in the depot/yard', 'access']=>['private']
 17    1.000        ['in the depot/yard']=>['access', 'private']
 18    1.000        ['description', 'private']=>['access']
 19    1.000        ['description', 'access']=>['private']
 20    1.000        ['description']=>['access', 'private']
 21    1.000        ['in the depot/yard', 'description']=>['access']
 22    1.000        ['in the depot/yard', 'access']=>['description']
 23    1.000        ['description', 'access']=>['in the depot/yard']
 24    1.000        ['in the depot/yard']=>['description', 'access']
 25    1.000        ['description']=>['in the depot/yard', 'access']
 26    1.000        ['in the depot/yard', 'description', 'private']=>['access']
 27    1.000        ['in the depot/yard', 'private', 'access']=>['description']
 28    1.000        ['description', 'private', 'access']=>['in the depot/yard']
 29    1.000        ['in the depot/yard', 'description', 'access']=>['private']
 30    1.000        ['in the depot/yard', 'description']=>['access', 'private']
 31    1.000        ['description', 'access']=>['in the depot/yard', 'private']
 32    1.000        ['in the depot/yard', 'access']=>['description', 'private']
 33    1.000        ['in the depot/yard', 'private']=>['description', 'access']
 34    1.000        ['description', 'private']=>['in the depot/yard', 'access']
 35    1.000        ['description']=>['in the depot/yard', 'access', 'private']
 36    1.000        ['in the depot/yard']=>['access', 'description', 'private']
