data_length : 286         min_support_num : 14 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 1     1.000        ['bing']=>['source']
 2     1.000        ['addr:housenumber']=>['addr:street']
 3     1.000        ['fence']=>['barrier']
 4     1.000        ['urban']=>['residential']
 5     1.000        ['Bing']=>['source']
 6     1.000        ['wall']=>['barrier']
 7     1.000        ['addr:city', 'addr:housenumber']=>['addr:street']
 8     1.000        ['北京市', 'addr:district']=>['addr:province']
 9     1.000        ['addr:city', '北京市']=>['addr:province']
 10    1.000        ['addr:city', '北京市', 'addr:district']=>['addr:province']
 11    1.000        ['addr:city', 'addr:province', 'addr:district']=>['北京市']
 12    0.947        ['addr:district']=>['addr:province']
 13    0.947        ['北京']=>['addr:city']
 14    0.944        ['北京市', 'addr:province']=>['addr:district']
 15    0.944        ['addr:province', 'addr:district']=>['北京市']
 16    0.944        ['北京市', 'addr:province']=>['addr:city']
 17    0.944        ['addr:city', 'addr:province']=>['北京市']
 18    0.941        ['addr:city', 'addr:district']=>['addr:province']
 19    0.941        ['北京', 'addr:street']=>['addr:city']
 20    0.941        ['北京市', 'addr:district']=>['addr:city']
 21    0.941        ['addr:city', '北京市']=>['addr:district']
 22    0.941        ['addr:city', 'addr:district']=>['北京市']
 23    0.941        ['北京市', 'addr:province', 'addr:district']=>['addr:city']
 24    0.941        ['北京市', 'addr:city', 'addr:province']=>['addr:district']
 25    0.941        ['addr:city', '北京市']=>['addr:province', 'addr:district']
 26    0.941        ['addr:city', 'addr:district']=>['北京市', 'addr:province']
 27    0.941        ['北京市', 'addr:district']=>['addr:city', 'addr:province']
 28    0.900        ['addr:province']=>['addr:district']
 29    0.900        ['addr:province']=>['北京市']
 30    0.900        ['addr:province']=>['addr:city']
 31    0.895        ['addr:district']=>['北京市']
 32    0.895        ['北京']=>['addr:street']
 33    0.895        ['addr:district']=>['addr:city']
 34    0.895        ['addr:district']=>['北京市', 'addr:province']
 35    0.893        ['residential']=>['urban']
 36    0.889        ['addr:province', 'addr:district']=>['addr:city']
 37    0.889        ['addr:city', 'addr:province']=>['addr:district']
 38    0.889        ['addr:city', '北京']=>['addr:street']
 39    0.889        ['addr:province', 'addr:district']=>['addr:city', '北京市']
 40    0.889        ['addr:city', 'addr:province']=>['北京市', 'addr:district']
 41    0.889        ['北京市', 'addr:province']=>['addr:city', 'addr:district']
 42    0.850        ['addr:province']=>['北京市', 'addr:district']
 43    0.850        ['addr:province']=>['addr:city', '北京市']
 44    0.842        ['addr:housenumber']=>['addr:city']
 45    0.842        ['addr:district']=>['addr:city', 'addr:province']
 46    0.842        ['addr:housenumber', 'addr:street']=>['addr:city']
 47    0.842        ['addr:housenumber']=>['addr:city', 'addr:street']
 48    0.842        ['北京']=>['addr:city', 'addr:street']
 49    0.842        ['addr:district']=>['addr:city', '北京市']
 50    0.842        ['addr:district']=>['北京市', 'addr:city', 'addr:province']
 51    0.816        ['addr:city']=>['addr:street']
 52    0.800        ['addr:province']=>['addr:city', 'addr:district']
 53    0.800        ['addr:province']=>['addr:city', '北京市', 'addr:district']
 54    0.750        ['addr:province']=>['addr:street']
