data_length : 2253        min_support_num : 112 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 1     1.000        ['int_name']=>['name']
 2     1.000        ['int_name', 'oneway']=>['name']
 3     1.000        ['int_name', 'name:en']=>['oneway']
 4     1.000        ['ref', 'name:en']=>['name']
 5     1.000        ['int_name', 'name:en']=>['name']
 6     1.000        ['int_name', 'name:en', 'oneway']=>['name']
 7     1.000        ['name', 'int_name', 'name:en']=>['oneway']
 8     1.000        ['int_name', 'name:en']=>['name', 'oneway']
 9     0.998        ['name:en']=>['name']
 10    0.998        ['name:en', 'oneway']=>['name']
 11    0.995        ['name:zh_pinyin']=>['name']
 12    0.995        ['name:zh_pinyin', 'oneway']=>['name']
 13    0.994        ['name:en', 'name:zh_pinyin']=>['name']
 14    0.994        ['name:en', 'name:zh_pinyin', 'oneway']=>['name']
 15    0.994        ['name:zh']=>['name']
 16    0.994        ['name:zh', 'oneway']=>['name']
 17    0.994        ['name:zh', 'name:en']=>['name']
 18    0.994        ['name:zh', 'name:en', 'oneway']=>['name']
 19    0.992        ['name:zh', 'name:zh_pinyin']=>['name']
 20    0.992        ['name:zh', 'name:zh_pinyin']=>['oneway']
 21    0.992        ['name:zh', 'name:zh_pinyin', 'oneway']=>['name']
 22    0.992        ['name', 'name:zh', 'name:zh_pinyin']=>['oneway']
 23    0.991        ['name:zh', 'name:en', 'name:zh_pinyin']=>['oneway']
 24    0.991        ['name:zh', 'name:en', 'name:zh_pinyin']=>['name']
 25    0.991        ['name:zh', 'name:en', 'name:zh_pinyin', 'oneway']=>['name']
 26    0.991        ['name', 'name:zh', 'name:en', 'name:zh_pinyin']=>['oneway']
 27    0.986        ['int_name']=>['oneway']
 28    0.986        ['name', 'int_name']=>['oneway']
 29    0.986        ['int_name']=>['name', 'oneway']
 30    0.986        ['name:zh_pinyin']=>['oneway']
 31    0.986        ['name', 'name:zh_pinyin']=>['oneway']
 32    0.983        ['name:zh', 'name:zh_pinyin']=>['name', 'oneway']
 33    0.983        ['name:en', 'name:zh_pinyin']=>['oneway']
 34    0.983        ['name', 'name:en', 'name:zh_pinyin']=>['oneway']
 35    0.983        ['name:zh', 'name:en', 'name:zh_pinyin']=>['name', 'oneway']
 36    0.981        ['name:zh_pinyin']=>['name', 'oneway']
 37    0.978        ['name:en', 'name:zh_pinyin']=>['name', 'oneway']
 38    0.977        ['name', 'bridge', 'oneway']=>['layer']
 39    0.972        ['name', 'layer', 'oneway']=>['bridge']
 40    0.961        ['name', 'layer']=>['bridge']
 41    0.960        ['layer', 'oneway']=>['bridge']
 42    0.957        ['name:zh', 'name:en']=>['oneway']
 43    0.957        ['name', 'bridge']=>['layer']
 44    0.957        ['name', 'name:zh', 'name:en']=>['oneway']
 45    0.956        ['name', 'ref', 'bridge']=>['layer']
 46    0.953        ['layer']=>['bridge']
 47    0.953        ['ref', 'layer']=>['bridge']
 48    0.952        ['name:zh', 'oneway']=>['name:en']
 49    0.951        ['name', 'name:zh', 'oneway']=>['name:en']
 50    0.951        ['name:zh', 'name:en']=>['name', 'oneway']
 51    0.950        ['name:zh', 'name:zh_pinyin']=>['name:en']
 52    0.950        ['name:zh', 'name:zh_pinyin', 'oneway']=>['name:en']
 53    0.950        ['name', 'name:zh', 'name:zh_pinyin']=>['name:en']
 54    0.950        ['name', 'name:zh', 'name:zh_pinyin', 'oneway']=>['name:en']
 55    0.949        ['name', 'ref', 'layer']=>['bridge']
 56    0.945        ['name:zh', 'oneway']=>['name', 'name:en']
 57    0.943        ['name:zh']=>['oneway']
 58    0.943        ['name', 'name:zh']=>['oneway']
 59    0.942        ['name:zh', 'name:zh_pinyin']=>['name:en', 'oneway']
 60    0.942        ['name:zh', 'name:zh_pinyin']=>['name', 'name:en']
 61    0.942        ['name', 'name:zh', 'name:zh_pinyin']=>['name:en', 'oneway']
 62    0.942        ['name:zh', 'name:zh_pinyin', 'oneway']=>['name', 'name:en']
 63    0.937        ['name:zh']=>['name:en']
 64    0.937        ['name:zh']=>['name', 'oneway']
 65    0.937        ['name', 'name:zh']=>['name:en']
 66    0.934        ['name:zh', 'name:zh_pinyin']=>['name', 'name:en', 'oneway']
 67    0.931        ['name:zh']=>['name', 'name:en']
 68    0.914        ['source', 'lanes']=>['name']
 69    0.908        ['name:en']=>['oneway']
 70    0.908        ['name', 'name:en']=>['oneway']
 71    0.906        ['name:en']=>['name', 'oneway']
 72    0.900        ['bridge', 'oneway']=>['layer']
 73    0.897        ['name:zh']=>['name:en', 'oneway']
 74    0.897        ['name', 'name:zh']=>['name:en', 'oneway']
 75    0.891        ['name:zh']=>['name', 'name:en', 'oneway']
 76    0.883        ['bridge']=>['layer']
 77    0.870        ['name:zh_pinyin']=>['name:en']
