data_length : 2041        min_support_num : 357 
min_support : 17.50%      min_conf : 87.50% 

index  confidence   rules
 1     1.000        ['bridge']=>['yes']
 2     1.000        ['1']=>['yes']
 3     1.000        ['1', 'layer']=>['yes']
 4     1.000        ['layer', 'bridge']=>['yes']
 5     1.000        ['1', 'layer']=>['bridge']
 6     1.000        ['1', 'bridge']=>['layer']
 7     1.000        ['1', 'bridge']=>['yes']
 8     1.000        ['yes', '1', 'layer']=>['bridge']
 9     1.000        ['yes', '1', 'bridge']=>['layer']
 10    1.000        ['layer', '1', 'bridge']=>['yes']
 11    1.000        ['1', 'layer']=>['yes', 'bridge']
 12    1.000        ['1', 'bridge']=>['yes', 'layer']
 13    0.995        ['layer']=>['yes']
 14    0.989        ['layer', 'bridge']=>['1']
 15    0.989        ['yes', 'layer', 'bridge']=>['1']
 16    0.989        ['layer', 'bridge']=>['yes', '1']
 17    0.982        ['oneway']=>['yes']
 18    0.981        ['1']=>['layer']
 19    0.981        ['1']=>['bridge']
 20    0.981        ['yes', '1']=>['layer']
 21    0.981        ['1']=>['yes', 'layer']
 22    0.981        ['1']=>['bridge', 'layer']
 23    0.981        ['yes', '1']=>['bridge']
 24    0.981        ['1']=>['yes', 'bridge']
 25    0.981        ['yes', '1']=>['bridge', 'layer']
 26    0.981        ['1']=>['bridge', 'yes', 'layer']
 27    0.958        ['yes', 'layer']=>['bridge']
 28    0.953        ['layer']=>['bridge']
 29    0.953        ['layer']=>['yes', 'bridge']
 30    0.947        ['yes', 'layer']=>['1']
 31    0.947        ['yes', 'layer']=>['1', 'bridge']
 32    0.942        ['layer']=>['1']
 33    0.942        ['layer']=>['yes', '1']
 34    0.942        ['layer']=>['1', 'bridge']
 35    0.942        ['layer']=>['yes', '1', 'bridge']
 36    0.883        ['bridge']=>['layer']
 37    0.883        ['yes', 'bridge']=>['layer']
 38    0.883        ['bridge']=>['yes', 'layer']
