index  confidence   rules
 1     1.000        ['1']=>['yes']
 2     1.000        ['1']=>['primary']
 3     1.000        ['2']=>['primary']
 4     1.000        ['1', 'primary']=>['yes']
 5     1.000        ['1', 'yes']=>['primary']
 6     1.000        ['1']=>['yes', 'primary']
 7     1.000        ['yes', '2']=>['primary']
 8     0.835        ['yes']=>['primary']
 9     0.794        ['2']=>['yes']
 10    0.794        ['2', 'primary']=>['yes']
 11    0.794        ['2']=>['yes', 'primary']
 12    0.792        ['primary']=>['yes']
