data_length : 807         min_support_num : 20 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 1     1.000        ['internet_access:fee']=>['internet_access']
 2     1.000        ['internet_access:fee', 'smoking']=>['internet_access']
 3     1.000        ['outdoor_seating', 'opening_hours']=>['cuisine']
 4     1.000        ['internet_access:fee', 'wheelchair']=>['smoking']
 5     1.000        ['wheelchair', 'smoking']=>['cuisine']
 6     1.000        ['internet_access:fee', 'opening_hours']=>['cuisine']
 7     1.000        ['takeaway', 'wheelchair']=>['cuisine']
 8     1.000        ['takeaway', 'wheelchair']=>['smoking']
 9     1.000        ['internet_access:fee', 'wheelchair']=>['internet_access']
 10    1.000        ['wheelchair', 'internet_access']=>['internet_access:fee']
 11    1.000        ['wheelchair', 'internet_access']=>['cuisine']
 12    1.000        ['addr:housenumber', 'opening_hours']=>['addr:street']
 13    1.000        ['cuisine', 'internet_access:fee']=>['internet_access']
 14    1.000        ['addr:housenumber', 'addr:postcode']=>['addr:street']
 15    1.000        ['internet_access:fee', 'opening_hours']=>['smoking']
 16    1.000        ['internet_access:fee', 'wheelchair']=>['cuisine']
 17    1.000        ['opening_hours', 'wheelchair']=>['cuisine']
 18    1.000        ['wheelchair', 'internet_access']=>['smoking']
 19    1.000        ['internet_access:fee', 'opening_hours']=>['internet_access']
 20    1.000        ['cuisine', 'internet_access:fee', 'wheelchair']=>['smoking']
 21    1.000        ['wheelchair', 'internet_access:fee', 'smoking']=>['cuisine']
 22    1.000        ['internet_access:fee', 'wheelchair']=>['cuisine', 'smoking']
 23    1.000        ['takeaway', 'opening_hours', 'wheelchair']=>['smoking']
 24    1.000        ['internet_access:fee', 'opening_hours', 'wheelchair']=>['internet_access']
 25    1.000        ['wheelchair', 'opening_hours', 'internet_access']=>['internet_access:fee']
 26    1.000        ['wheelchair', 'opening_hours', 'internet_access']=>['cuisine']
 27    1.000        ['cuisine', 'internet_access:fee', 'smoking']=>['internet_access']
 28    1.000        ['wheelchair', 'opening_hours', 'internet_access']=>['smoking']
 29    1.000        ['internet_access:fee', 'opening_hours', 'internet_access']=>['cuisine']
 30    1.000        ['internet_access:fee', 'cuisine', 'opening_hours']=>['internet_access']
 31    1.000        ['internet_access:fee', 'opening_hours']=>['cuisine', 'internet_access']
 32    1.000        ['internet_access:fee', 'opening_hours', 'internet_access']=>['smoking']
 33    1.000        ['internet_access:fee', 'opening_hours', 'smoking']=>['internet_access']
 34    1.000        ['smoking', 'opening_hours', 'internet_access']=>['internet_access:fee']
 35    1.000        ['internet_access:fee', 'opening_hours']=>['smoking', 'internet_access']
 36    1.000        ['internet_access', 'opening_hours', 'smoking']=>['cuisine']
 37    1.000        ['internet_access:fee', 'opening_hours', 'wheelchair']=>['cuisine']
 38    1.000        ['internet_access:fee', 'opening_hours', 'wheelchair']=>['smoking']
 39    1.000        ['wheelchair', 'opening_hours', 'smoking']=>['cuisine']
 40    1.000        ['internet_access:fee', 'cuisine', 'opening_hours']=>['smoking']
 41    1.000        ['internet_access:fee', 'opening_hours', 'smoking']=>['cuisine']
 42    1.000        ['internet_access:fee', 'opening_hours']=>['cuisine', 'smoking']
 43    1.000        ['takeaway', 'opening_hours', 'wheelchair']=>['cuisine']
 44    1.000        ['cuisine', 'takeaway', 'wheelchair']=>['smoking']
 45    1.000        ['takeaway', 'wheelchair', 'smoking']=>['cuisine']
 46    1.000        ['takeaway', 'wheelchair']=>['cuisine', 'smoking']
 47    1.000        ['wheelchair', 'internet_access:fee', 'internet_access']=>['cuisine']
 48    1.000        ['cuisine', 'internet_access:fee', 'wheelchair']=>['internet_access']
 49    1.000        ['cuisine', 'wheelchair', 'internet_access']=>['internet_access:fee']
 50    1.000        ['wheelchair', 'internet_access']=>['cuisine', 'internet_access:fee']
 51    1.000        ['internet_access:fee', 'wheelchair']=>['cuisine', 'internet_access']
 52    1.000        ['wheelchair', 'internet_access:fee', 'internet_access']=>['smoking']
 53    1.000        ['wheelchair', 'internet_access:fee', 'smoking']=>['internet_access']
 54    1.000        ['smoking', 'wheelchair', 'internet_access']=>['internet_access:fee']
 55    1.000        ['wheelchair', 'internet_access']=>['internet_access:fee', 'smoking']
 56    1.000        ['internet_access:fee', 'wheelchair']=>['smoking', 'internet_access']
 57    1.000        ['cuisine', 'wheelchair', 'internet_access']=>['smoking']
 58    1.000        ['internet_access', 'wheelchair', 'smoking']=>['cuisine']
 59    1.000        ['wheelchair', 'internet_access']=>['cuisine', 'smoking']
 60    1.000        ['cuisine', 'internet_access', 'internet_access:fee', 'wheelchair']=>['smoking']
