data_length : 807         min_support_num : 40 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 1     1.000        ['outside']=>['smoking']
 2     1.000        ['building']=>['yes']
 3     1.000        ['chinese']=>['cuisine']
 4     1.000        ['wlan']=>['internet_access']
 5     1.000        ['cuisine', 'wlan']=>['internet_access']
 6     1.000        ['cuisine', 'outside']=>['smoking']
 7     1.000        ['cuisine', 'outside']=>['opening_hours']
 8     1.000        ['outside', 'opening_hours']=>['cuisine']
 9     1.000        ['chinese', 'addr:street']=>['cuisine']
 10    1.000        ['yes', 'chinese']=>['cuisine']
 11    1.000        ['outside', 'opening_hours']=>['smoking']
 12    1.000        ['cuisine', 'outside', 'smoking']=>['opening_hours']
 13    1.000        ['cuisine', 'outside', 'opening_hours']=>['smoking']
 14    1.000        ['outside', 'opening_hours', 'smoking']=>['cuisine']
 15    1.000        ['outside', 'opening_hours']=>['cuisine', 'smoking']
 16    1.000        ['cuisine', 'outside']=>['opening_hours', 'smoking']
 17    0.978        ['opening_hours', 'smoking']=>['cuisine']
 18    0.978        ['phone', 'addr:housenumber']=>['addr:street']
 19    0.977        ['outside']=>['opening_hours']
 20    0.977        ['outside']=>['cuisine']
 21    0.977        ['outside', 'smoking']=>['cuisine']
 22    0.977        ['outside']=>['cuisine', 'smoking']
 23    0.977        ['outside']=>['cuisine', 'opening_hours']
 24    0.977        ['outside', 'smoking']=>['opening_hours']
 25    0.977        ['outside']=>['opening_hours', 'smoking']
 26    0.977        ['outside', 'smoking']=>['cuisine', 'opening_hours']
 27    0.977        ['outside']=>['cuisine', 'opening_hours', 'smoking']
 28    0.976        ['no', 'opening_hours']=>['cuisine']
 29    0.967        ['cuisine', 'internet_access']=>['wlan']
 30    0.958        ['internet_access']=>['wlan']
 31    0.939        ['yes', 'smoking']=>['cuisine']
 32    0.939        ['no', 'yes']=>['cuisine']
 33    0.935        ['cuisine', 'takeaway']=>['yes']
 34    0.933        ['no', 'smoking']=>['cuisine']
 35    0.933        ['cuisine', 'opening_hours', 'smoking']=>['outside']
 36    0.922        ['takeaway']=>['yes']
 37    0.918        ['smoking']=>['cuisine']
 38    0.915        ['yes', 'takeaway']=>['cuisine']
 39    0.913        ['opening_hours', 'smoking']=>['outside']
 40    0.913        ['opening_hours', 'smoking']=>['cuisine', 'outside']
 41    0.913        ['addr:housenumber']=>['addr:street']
 42    0.909        ['wheelchair']=>['cuisine']
 43    0.902        ['takeaway']=>['cuisine']
 44    0.880        ['phone', 'addr:street']=>['addr:housenumber']
 45    0.859        ['cuisine', 'addr:housenumber']=>['addr:street']
 46    0.843        ['takeaway']=>['cuisine', 'yes']
 47    0.841        ['wlan']=>['cuisine']
 48    0.841        ['wlan', 'internet_access']=>['cuisine']
 49    0.841        ['wlan']=>['cuisine', 'internet_access']
 50    0.836        ['cuisine', 'smoking']=>['no']
 51    0.833        ['internet_access']=>['cuisine']
 52    0.822        ['smoking']=>['no']
 53    0.816        ['yes', 'smoking']=>['no']
 54    0.816        ['no', 'yes']=>['smoking']
 55    0.806        ['internet_access']=>['cuisine', 'wlan']
 56    0.784        ['takeaway']=>['no']
 57    0.767        ['smoking']=>['no', 'cuisine']
