data_length : 807         min_support_num : 20 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 1     1.000        ['09:00-22:00']=>['outside']
 2     1.000        ['wlan', 'yes']=>['no']
 3     1.000        ['wlan', 'outside']=>['no']
 4     1.000        ['09:00-22:00', 'no']=>['wlan']
 5     1.000        ['09:00-22:00', 'wlan']=>['no']
 6     1.000        ['09:00-22:00', 'wlan']=>['outside']
 7     1.000        ['09:00-22:00', 'no']=>['outside']
 8     1.000        ['no', 'wlan', '09:00-22:00']=>['outside']
 9     1.000        ['no', '09:00-22:00', 'outside']=>['wlan']
 10    1.000        ['09:00-22:00', 'wlan', 'outside']=>['no']
 11    1.000        ['no', '09:00-22:00']=>['wlan', 'outside']
 12    1.000        ['09:00-22:00', 'wlan']=>['no', 'outside']
 13    1.000        ['wlan', 'yes', 'outside']=>['no']
 14    0.952        ['limited']=>['outside']
 15    0.913        ['wlan', 'yes']=>['outside']
 16    0.913        ['no', 'wlan', 'yes']=>['outside']
 17    0.913        ['wlan', 'yes']=>['no', 'outside']
 18    0.893        ['09:00-22:00']=>['wlan']
 19    0.893        ['09:00-22:00']=>['no']
 20    0.893        ['09:00-22:00']=>['no', 'wlan']
 21    0.893        ['09:00-22:00', 'outside']=>['wlan']
 22    0.893        ['09:00-22:00']=>['wlan', 'outside']
 23    0.893        ['09:00-22:00', 'outside']=>['no']
 24    0.893        ['09:00-22:00']=>['no', 'outside']
 25    0.893        ['09:00-22:00', 'outside']=>['no', 'wlan']
 26    0.893        ['09:00-22:00']=>['no', 'wlan', 'outside']
 27    0.882        ['no', 'wlan']=>['outside']
 28    0.857        ['no', 'outside']=>['wlan']
 29    0.833        ['wlan', 'outside']=>['09:00-22:00']
 30    0.833        ['no', 'wlan', 'outside']=>['09:00-22:00']
 31    0.833        ['wlan', 'outside']=>['09:00-22:00', 'no']
 32    0.814        ['outside']=>['no']
 33    0.808        ['no', 'yes', 'outside']=>['wlan']
 34    0.788        ['yes', 'outside']=>['no']
 35    0.767        ['outside']=>['yes']
 36    0.743        ['no', 'outside']=>['yes']
 37    0.735        ['no', 'wlan']=>['09:00-22:00']
 38    0.735        ['no', 'wlan']=>['09:00-22:00', 'outside']
