data_length : 1916        min_support_num : 479 
min_support : 25.00%      min_conf : 95.00% 

index  confidence   rules
 1     1.000        ['bridge']=>['yes']
 2     1.000        ['layer']=>['yes']
 3     1.000        ['bridge', 'oneway']=>['yes']
 4     1.000        ['1', 'bridge']=>['layer']
 5     1.000        ['1', 'bridge']=>['yes']
 6     1.000        ['bridge', 'layer']=>['yes']
 7     1.000        ['layer', 'oneway']=>['yes']
 8     1.000        ['1', 'layer']=>['yes']
 9     1.000        ['1', 'oneway']=>['yes']
 10    1.000        ['oneway', '1', 'layer']=>['yes']
 11    1.000        ['oneway', '1', 'bridge']=>['yes']
 12    1.000        ['bridge', 'layer', 'oneway']=>['yes']
 13    1.000        ['yes', '1', 'bridge']=>['layer']
 14    1.000        ['bridge', '1', 'layer']=>['yes']
 15    1.000        ['1', 'bridge']=>['yes', 'layer']
 16    1.000        ['oneway', '1', 'bridge']=>['layer']
 17    1.000        ['oneway', 'yes', '1', 'bridge']=>['layer']
 18    1.000        ['bridge', 'oneway', '1', 'layer']=>['yes']
 19    1.000        ['oneway', '1', 'bridge']=>['yes', 'layer']
 20    0.997        ['lanes', 'oneway']=>['yes']
 21    0.992        ['1', 'oneway']=>['layer']
 22    0.992        ['yes', '1', 'oneway']=>['layer']
 23    0.992        ['1', 'oneway']=>['yes', 'layer']
 24    0.992        ['oneway', '1', 'layer']=>['bridge']
 25    0.992        ['oneway', 'yes', '1', 'layer']=>['bridge']
 26    0.992        ['oneway', '1', 'layer']=>['yes', 'bridge']
 27    0.991        ['1']=>['yes']
 28    0.991        ['1', 'layer']=>['bridge']
 29    0.991        ['yes', '1', 'layer']=>['bridge']
 30    0.991        ['1', 'layer']=>['yes', 'bridge']
 31    0.989        ['yes', '1']=>['layer']
 32    0.988        ['lanes', 'yes']=>['oneway']
 33    0.988        ['oneway']=>['yes']
 34    0.984        ['1', 'oneway']=>['bridge']
 35    0.984        ['yes', '1', 'oneway']=>['bridge']
 36    0.984        ['1', 'oneway']=>['yes', 'bridge']
 37    0.984        ['1', 'oneway']=>['layer', 'bridge']
 38    0.984        ['yes', '1', 'oneway']=>['layer', 'bridge']
 39    0.984        ['1', 'oneway']=>['yes', 'layer', 'bridge']
 40    0.980        ['1']=>['layer']
 41    0.980        ['1']=>['yes', 'layer']
 42    0.980        ['yes', '1']=>['bridge']
 43    0.980        ['yes', '1']=>['layer', 'bridge']
 44    0.973        ['lanes']=>['yes']
 45    0.971        ['1']=>['bridge']
 46    0.971        ['1']=>['layer', 'bridge']
 47    0.971        ['1']=>['yes', 'bridge']
 48    0.971        ['1']=>['yes', 'layer', 'bridge']
 49    0.969        ['bridge', 'oneway']=>['layer']
 50    0.969        ['bridge', 'yes', 'oneway']=>['layer']
 51    0.969        ['bridge', 'oneway']=>['yes', 'layer']
 52    0.966        ['bridge']=>['layer']
 53    0.966        ['yes', 'bridge']=>['layer']
 54    0.966        ['bridge']=>['yes', 'layer']
 55    0.964        ['lanes']=>['oneway']
 56    0.961        ['lanes']=>['yes', 'oneway']
