data_length : 1916        min_support_num : 47 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 1     1.000        ['3']=>['yes']
 2     1.000        ['1', '4']=>['yes']
 3     1.000        ['3', '1']=>['yes']
 4     1.000        ['2', '1']=>['yes']
 5     0.991        ['1']=>['yes']
 6     0.988        ['G111']=>['yes']
 7     0.981        ['lane', 'G111']=>['yes']
 8     0.948        ['4']=>['yes']
 9     0.929        ['2']=>['yes']
 10    0.912        ['lane']=>['yes']
 11    0.891        ['asphalt']=>['yes']
