data_length : 28          min_support_num : 1 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 1     1.000        ['china_class']=>['wikidata']
 2     1.000        ['wikidata']=>['wikipedia']
 3     1.000        ['wikipedia']=>['wikidata']
 4     1.000        ['china_class']=>['wikipedia']
 5     1.000        ['place', 'wikipedia']=>['tourism']
 6     1.000        ['place', 'tourism']=>['wikipedia']
 7     1.000        ['tourism', 'wikipedia']=>['place']
 8     1.000        ['wikidata', 'tourism']=>['wikipedia']
 9     1.000        ['tourism', 'wikipedia']=>['wikidata']
 10    1.000        ['place', 'wikidata']=>['wikipedia']
 11    1.000        ['place', 'wikipedia']=>['wikidata']
 12    1.000        ['place', 'wikidata']=>['tourism']
 13    1.000        ['wikidata', 'tourism']=>['place']
 14    1.000        ['place', 'tourism']=>['wikidata']
 15    1.000        ['china_class', 'wikidata']=>['wikipedia']
 16    1.000        ['china_class', 'wikipedia']=>['wikidata']
 17    1.000        ['china_class']=>['wikidata', 'wikipedia']
 18    1.000        ['place', 'wikidata', 'wikipedia']=>['tourism']
 19    1.000        ['place', 'wikidata', 'tourism']=>['wikipedia']
 20    1.000        ['tourism', 'wikidata', 'wikipedia']=>['place']
 21    1.000        ['tourism', 'place', 'wikipedia']=>['wikidata']
 22    1.000        ['place', 'wikipedia']=>['wikidata', 'tourism']
 23    1.000        ['wikidata', 'tourism']=>['place', 'wikipedia']
 24    1.000        ['place', 'wikidata']=>['wikipedia', 'tourism']
 25    1.000        ['place', 'tourism']=>['wikidata', 'wikipedia']
 26    1.000        ['tourism', 'wikipedia']=>['place', 'wikidata']
