data_length : 28          min_support_num : 1 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 1     1.000        ['village']=>['en:Cuandixia']
 2     1.000        ['en:Cuandixia']=>['village']
 3     1.000        ['en:Cuandixia']=>['Q954362']
 4     1.000        ['Q954362']=>['en:Cuandixia']
 5     1.000        ['en:Cuandixia']=>['cuàndǐxia cūn']
 6     1.000        ['cuàndǐxia cūn']=>['en:Cuandixia']
 7     1.000        ['village']=>['cuàndǐxia cūn']
 8     1.000        ['cuàndǐxia cūn']=>['village']
 9     1.000        ["Yen-ho-ch'eng"]=>['GNS']
 10    1.000        ['en:Cuandixia']=>['attraction']
 11    1.000        ['爨底下']=>['Q954362']
 12    1.000        ['Q954362']=>['爨底下']
 13    1.000        ['village']=>['Q954362']
 14    1.000        ['Q954362']=>['village']
 15    1.000        ['de:Jackson Hole (China)']=>['Q6117151']
 16    1.000        ['Q6117151']=>['de:Jackson Hole (China)']
 17    1.000        ['zh:桑园镇']=>['Q11112889']
 18    1.000        ['Q11112889']=>['zh:桑园镇']
 19    1.000        ['village']=>['爨底下']
 20    1.000        ['爨底下']=>['village']
 21    1.000        ['cuàndǐxia cūn']=>['attraction']
 22    1.000        ['Q954362']=>['cuàndǐxia cūn']
 23    1.000        ['cuàndǐxia cūn']=>['Q954362']
 24    1.000        ['渤海所村']=>['GNS']
 25    1.000        ['zhen']=>['Q11112889']
 26    1.000        ['Q11112889']=>['zhen']
 27    1.000        ['zhen']=>['zh:桑园镇']
 28    1.000        ['zh:桑园镇']=>['zhen']
 29    1.000        ['爨底下']=>['cuàndǐxia cūn']
 30    1.000        ['cuàndǐxia cūn']=>['爨底下']
 31    1.000        ['Q954362']=>['attraction']
 32    1.000        ['village']=>['attraction']
 33    1.000        ['爨底下']=>['attraction']
 34    1.000        ['en:Cuandixia']=>['爨底下']
 35    1.000        ['爨底下']=>['en:Cuandixia']
 36    1.000        ['village', 'en:Cuandixia']=>['attraction']
 37    1.000        ['attraction', 'village']=>['en:Cuandixia']
 38    1.000        ['attraction', 'en:Cuandixia']=>['village']
 39    1.000        ['village']=>['attraction', 'en:Cuandixia']
 40    1.000        ['en:Cuandixia']=>['attraction', 'village']
 41    1.000        ['attraction', '爨底下']=>['cuàndǐxia cūn']
 42    1.000        ['爨底下', 'cuàndǐxia cūn']=>['attraction']
 43    1.000        ['attraction', 'cuàndǐxia cūn']=>['爨底下']
 44    1.000        ['爨底下']=>['attraction', 'cuàndǐxia cūn']
 45    1.000        ['cuàndǐxia cūn']=>['attraction', '爨底下']
 46    1.000        ['attraction', 'Q954362']=>['cuàndǐxia cūn']
 47    1.000        ['Q954362', 'cuàndǐxia cūn']=>['attraction']
 48    1.000        ['attraction', 'cuàndǐxia cūn']=>['Q954362']
 49    1.000        ['Q954362']=>['attraction', 'cuàndǐxia cūn']
 50    1.000        ['cuàndǐxia cūn']=>['attraction', 'Q954362']
 51    1.000        ['爨底下', 'village']=>['Q954362']
 52    1.000        ['Q954362', 'village']=>['爨底下']
 53    1.000        ['爨底下', 'Q954362']=>['village']
 54    1.000        ['village']=>['爨底下', 'Q954362']
 55    1.000        ['爨底下']=>['Q954362', 'village']
 56    1.000        ['Q954362']=>['爨底下', 'village']
 57    1.000        ['爨底下', 'village']=>['attraction']
 58    1.000        ['attraction', 'village']=>['爨底下']
 59    1.000        ['attraction', '爨底下']=>['village']
 60    1.000        ['爨底下']=>['attraction', 'village']
 61    1.000        ['village']=>['attraction', '爨底下']
 62    1.000        ['zh:桑园镇', 'zhen']=>['Q11112889']
 63    1.000        ['Q11112889', 'zhen']=>['zh:桑园镇']
 64    1.000        ['Q11112889', 'zh:桑园镇']=>['zhen']
 65    1.000        ['zhen']=>['Q11112889', 'zh:桑园镇']
 66    1.000        ['zh:桑园镇']=>['Q11112889', 'zhen']
 67    1.000        ['Q11112889']=>['zhen', 'zh:桑园镇']
 68    1.000        ['Q954362', 'en:Cuandixia']=>['attraction']
 69    1.000        ['attraction', 'en:Cuandixia']=>['Q954362']
 70    1.000        ['attraction', 'Q954362']=>['en:Cuandixia']
 71    1.000        ['Q954362']=>['attraction', 'en:Cuandixia']
 72    1.000        ['en:Cuandixia']=>['attraction', 'Q954362']
 73    1.000        ['爨底下', 'en:Cuandixia']=>['attraction']
 74    1.000        ['attraction', 'en:Cuandixia']=>['爨底下']
 75    1.000        ['attraction', '爨底下']=>['en:Cuandixia']
 76    1.000        ['爨底下']=>['attraction', 'en:Cuandixia']
 77    1.000        ['en:Cuandixia']=>['attraction', '爨底下']
 78    1.000        ['Q954362', 'village']=>['attraction']
 79    1.000        ['attraction', 'village']=>['Q954362']
 80    1.000        ['attraction', 'Q954362']=>['village']
 81    1.000        ['village']=>['attraction', 'Q954362']
 82    1.000        ['Q954362']=>['attraction', 'village']
 83    1.000        ['爨底下', 'village']=>['cuàndǐxia cūn']
 84    1.000        ['village', 'cuàndǐxia cūn']=>['爨底下']
 85    1.000        ['爨底下', 'cuàndǐxia cūn']=>['village']
 86    1.000        ['爨底下']=>['village', 'cuàndǐxia cūn']
 87    1.000        ['cuàndǐxia cūn']=>['爨底下', 'village']
 88    1.000        ['village']=>['爨底下', 'cuàndǐxia cūn']
 89    1.000        ['爨底下', 'Q954362']=>['cuàndǐxia cūn']
 90    1.000        ['爨底下', 'cuàndǐxia cūn']=>['Q954362']
 91    1.000        ['Q954362', 'cuàndǐxia cūn']=>['爨底下']
 92    1.000        ['cuàndǐxia cūn']=>['爨底下', 'Q954362']
 93    1.000        ['爨底下']=>['Q954362', 'cuàndǐxia cūn']
 94    1.000        ['Q954362']=>['爨底下', 'cuàndǐxia cūn']
 95    1.000        ['Q954362', 'village']=>['cuàndǐxia cūn']
 96    1.000        ['village', 'cuàndǐxia cūn']=>['Q954362']
 97    1.000        ['Q954362', 'cuàndǐxia cūn']=>['village']
 98    1.000        ['Q954362']=>['village', 'cuàndǐxia cūn']
 99    1.000        ['cuàndǐxia cūn']=>['Q954362', 'village']
 100   1.000        ['village']=>['Q954362', 'cuàndǐxia cūn']
 101   1.000        ['village', 'en:Cuandixia']=>['Q954362']
 102   1.000        ['Q954362', 'village']=>['en:Cuandixia']
 103   1.000        ['Q954362', 'en:Cuandixia']=>['village']
 104   1.000        ['Q954362']=>['village', 'en:Cuandixia']
 105   1.000        ['village']=>['Q954362', 'en:Cuandixia']
 106   1.000        ['en:Cuandixia']=>['Q954362', 'village']
 107   1.000        ['village', 'en:Cuandixia']=>['爨底下']
 108   1.000        ['爨底下', 'village']=>['en:Cuandixia']
 109   1.000        ['爨底下', 'en:Cuandixia']=>['village']
 110   1.000        ['爨底下']=>['village', 'en:Cuandixia']
 111   1.000        ['en:Cuandixia']=>['爨底下', 'village']
 112   1.000        ['village']=>['爨底下', 'en:Cuandixia']
 113   1.000        ['Q954362', 'en:Cuandixia']=>['cuàndǐxia cūn']
 114   1.000        ['en:Cuandixia', 'cuàndǐxia cūn']=>['Q954362']
