data_length : 3567        min_support_num : 71 
min_support : 2.00%       min_conf : 72.00% 

index  confidence   rules
 1     1.000        ['source']=>['highway']
 2     1.000        ['oneway']=>['highway']
 3     1.000        ['bicycle']=>['highway']
 4     1.000        ['bridge']=>['highway']
 5     1.000        ['covered']=>['highway']
 6     1.000        ['surface']=>['highway']
 7     1.000        ['service']=>['highway']
 8     1.000        ['layer']=>['highway']
 9     1.000        ['access']=>['highway']
 10    1.000        ['bridge', 'layer']=>['highway']
 11    1.000        ['service', 'oneway']=>['highway']
 12    1.000        ['oneway', 'covered']=>['highway']
 13    1.000        ['access', 'oneway']=>['highway']
 14    0.786        ['layer']=>['bridge']
 15    0.786        ['layer', 'highway']=>['bridge']
 16    0.786        ['layer']=>['bridge', 'highway']
