data_length : 4523        min_support_num : 407 
min_support : 9.00%       min_conf : 40.00% 

index  confidence   rules
 1     1.000        ['layer=1']=>['highway=tertiary']
 2     1.000        ['oneway=yes']=>['highway=tertiary']
 3     1.000        ['bridge=yes']=>['highway=tertiary']
 4     1.000        ['bridge=yes', 'layer=1']=>['highway=tertiary']
 5     0.996        ['layer=1']=>['bridge=yes']
 6     0.996        ['highway=tertiary', 'layer=1']=>['bridge=yes']
 7     0.996        ['layer=1']=>['highway=tertiary', 'bridge=yes']
 8     0.795        ['highway=tertiary']=>['oneway=yes']
 9     0.770        ['bridge=yes']=>['layer=1']
 10    0.770        ['highway=tertiary', 'bridge=yes']=>['layer=1']
 11    0.770        ['bridge=yes']=>['highway=tertiary', 'layer=1']
