data_length : 4837        min_support_num : 48 
min_support : 1.00%       min_conf : 71.00% 

index  confidence   rules
 1     1.000        ['city_wall']=>['barrier']
 2     1.000        ['two_sided']=>['yes']
 3     1.000        ['cobblestone']=>['surface']
 4     1.000        ['paved']=>['surface']
 5     1.000        ['building_passage']=>['tunnel']
 6     1.000        ['zebra']=>['crossing']
 7     0.996        ['bridge']=>['yes']
 8     0.988        ['1']=>['layer']
 9     0.985        ['sidewalk']=>['footway']
 10    0.980        ['barrier']=>['city_wall']
 11    0.977        ['foot']=>['yes']
 12    0.940        ['private']=>['access']
 13    0.866        ['layer']=>['1']
 14    0.862        ['-1']=>['layer']
 15    0.728        ['tunnel']=>['yes']
 16    0.710        ['bicycle']=>['yes']
