data_length : 2761        min_support_num : 248 
min_support : 9.00%       min_conf : 40.00% 

index  confidence   rules
 1     1.000        ['bridge=yes']=>['highway=footway']
 2     1.000        ['foot=yes']=>['highway=footway']
 3     1.000        ['layer=1']=>['highway=footway']
 4     1.000        ['bridge=yes', 'layer=1']=>['highway=footway']
 5     0.974        ['layer=1']=>['bridge=yes']
 6     0.974        ['highway=footway', 'layer=1']=>['bridge=yes']
 7     0.974        ['layer=1']=>['highway=footway', 'bridge=yes']
 8     0.615        ['bridge=yes']=>['layer=1']
 9     0.615        ['highway=footway', 'bridge=yes']=>['layer=1']
 10    0.615        ['bridge=yes']=>['highway=footway', 'layer=1']
 11    0.557        ['highway=footway']=>['bridge=yes']
