data_length : 1072        min_support_num : 134 
min_support : 12.50%      min_conf : 82.50% 

index  confidence   rules
 1     1.000        ['Bing']=>['source']
 2     1.000        ['layer', 'bridge']=>['yes']
 3     1.000        ['bridge', 'layer']=>['1']
 4     1.000        ['1', 'bridge']=>['layer']
 5     1.000        ['1', 'bridge']=>['yes']
 6     1.000        ['yes', '1', 'layer']=>['bridge']
 7     1.000        ['bridge', 'yes', 'layer']=>['1']
 8     1.000        ['yes', '1', 'bridge']=>['layer']
 9     1.000        ['bridge', '1', 'layer']=>['yes']
 10    1.000        ['bridge', 'layer']=>['yes', '1']
 11    1.000        ['1', 'bridge']=>['yes', 'layer']
 12    0.995        ['bridge']=>['yes']
 13    0.993        ['1', 'layer']=>['yes']
 14    0.993        ['1', 'layer']=>['bridge']
 15    0.993        ['1', 'layer']=>['yes', 'bridge']
 16    0.986        ['yes', '1']=>['layer']
 17    0.986        ['yes', '1']=>['bridge']
 18    0.986        ['yes', '1']=>['bridge', 'layer']
 19    0.983        ['layer']=>['yes']
 20    0.910        ['1']=>['yes']
 21    0.903        ['1']=>['layer']
 22    0.897        ['1']=>['bridge']
 23    0.897        ['1']=>['yes', 'layer']
 24    0.897        ['1']=>['bridge', 'layer']
 25    0.897        ['1']=>['yes', 'bridge']
 26    0.897        ['1']=>['bridge', 'yes', 'layer']
