data_length : 5551        min_support_num : 1387 
min_support : 25.00%      min_conf : 95.00% 

index  confidence   rules
 1     1.000        ['frequency']=>['gauge']
 2     1.000        ['voltage']=>['gauge']
 3     1.000        ['frequency']=>['voltage']
 4     1.000        ['electrified', 'frequency']=>['gauge']
 5     1.000        ['voltage', 'frequency']=>['gauge']
 6     1.000        ['gauge', 'frequency']=>['voltage']
 7     1.000        ['frequency']=>['gauge', 'voltage']
 8     1.000        ['voltage', 'electrified']=>['gauge']
 9     1.000        ['electrified', 'frequency']=>['voltage']
 10    1.000        ['voltage', 'electrified', 'frequency']=>['gauge']
 11    1.000        ['gauge', 'electrified', 'frequency']=>['voltage']
 12    1.000        ['electrified', 'frequency']=>['gauge', 'voltage']
 13    1.000        ['voltage']=>['electrified']
 14    1.000        ['gauge', 'voltage']=>['electrified']
 15    1.000        ['voltage']=>['gauge', 'electrified']
 16    1.000        ['frequency']=>['electrified']
 17    1.000        ['gauge', 'frequency']=>['electrified']
 18    1.000        ['frequency']=>['gauge', 'electrified']
 19    1.000        ['voltage', 'frequency']=>['electrified']
 20    1.000        ['frequency']=>['voltage', 'electrified']
 21    1.000        ['gauge', 'voltage', 'frequency']=>['electrified']
 22    1.000        ['voltage', 'frequency']=>['gauge', 'electrified']
 23    1.000        ['gauge', 'frequency']=>['voltage', 'electrified']
 24    1.000        ['frequency']=>['gauge', 'voltage', 'electrified']
 25    0.997        ['usage', 'electrified']=>['gauge']
 26    0.995        ['electrified']=>['gauge']
 27    0.972        ['gauge', 'usage']=>['electrified']
