data_length : 5551        min_support_num : 1387 
min_support : 25.00%      min_conf : 95.00% 

index  confidence   rules
 1     1.000        ['frequency']=>['gauge']
 2     1.000        ['yard']=>['service']
 3     1.000        ['main']=>['usage']
 4     1.000        ['voltage']=>['1435']
 5     1.000        ['voltage']=>['gauge']
 6     1.000        ['1435']=>['gauge']
 7     1.000        ['gauge']=>['1435']
 8     1.000        ['frequency']=>['voltage']
 9     1.000        ['frequency']=>['1435']
 10    1.000        ['voltage', 'electrified']=>['1435']
 11    1.000        ['voltage', 'frequency']=>['1435']
 12    1.000        ['1435', 'frequency']=>['voltage']
 13    1.000        ['frequency']=>['voltage', '1435']
 14    1.000        ['voltage', 'electrified']=>['gauge']
 15    1.000        ['usage', '1435']=>['gauge']
 16    1.000        ['gauge', 'usage']=>['1435']
 17    1.000        ['main', 'electrified']=>['usage']
 18    1.000        ['usage', 'electrified']=>['main']
 19    1.000        ['main', '1435']=>['gauge']
 20    1.000        ['main', 'gauge']=>['1435']
 21    1.000        ['electrified', '1435']=>['gauge']
 22    1.000        ['gauge', 'electrified']=>['1435']
 23    1.000        ['service', '1435']=>['gauge']
 24    1.000        ['gauge', 'service']=>['1435']
 25    1.000        ['main', 'gauge']=>['usage']
 26    1.000        ['gauge', 'usage']=>['main']
 27    1.000        ['voltage', '1435']=>['gauge']
 28    1.000        ['gauge', 'voltage']=>['1435']
 29    1.000        ['voltage']=>['gauge', '1435']
 30    1.000        ['main', '1435']=>['usage']
 31    1.000        ['usage', '1435']=>['main']
 32    1.000        ['voltage', 'frequency']=>['gauge']
 33    1.000        ['gauge', 'frequency']=>['voltage']
 34    1.000        ['frequency']=>['gauge', 'voltage']
 35    1.000        ['electrified', 'frequency']=>['voltage']
 36    1.000        ['electrified', 'frequency']=>['1435']
 37    1.000        ['1435', 'frequency']=>['gauge']
 38    1.000        ['gauge', 'frequency']=>['1435']
 39    1.000        ['frequency']=>['gauge', '1435']
 40    1.000        ['electrified', 'frequency']=>['gauge']
 41    1.000        ['main', 'usage', '1435']=>['gauge']
 42    1.000        ['main', 'usage', 'gauge']=>['1435']
 43    1.000        ['main', 'gauge', '1435']=>['usage']
 44    1.000        ['gauge', 'usage', '1435']=>['main']
 45    1.000        ['usage', '1435']=>['main', 'gauge']
 46    1.000        ['main', '1435']=>['gauge', 'usage']
 47    1.000        ['gauge', 'usage']=>['main', '1435']
 48    1.000        ['main', 'gauge']=>['usage', '1435']
 49    1.000        ['voltage', 'electrified', '1435']=>['gauge']
 50    1.000        ['gauge', 'voltage', 'electrified']=>['1435']
 51    1.000        ['voltage', 'electrified']=>['gauge', '1435']
 52    1.000        ['electrified', '1435', 'frequency']=>['gauge']
 53    1.000        ['gauge', 'electrified', 'frequency']=>['1435']
 54    1.000        ['electrified', 'frequency']=>['gauge', '1435']
 55    1.000        ['voltage', 'electrified', 'frequency']=>['1435']
 56    1.000        ['electrified', '1435', 'frequency']=>['voltage']
 57    1.000        ['electrified', 'frequency']=>['voltage', '1435']
 58    1.000        ['main', 'gauge', 'electrified']=>['usage']
 59    1.000        ['gauge', 'usage', 'electrified']=>['main']
 60    1.000        ['main', 'electrified', '1435']=>['usage']
 61    1.000        ['usage', 'electrified', '1435']=>['main']
 62    1.000        ['main', 'electrified', '1435']=>['gauge']
 63    1.000        ['main', 'gauge', 'electrified']=>['1435']
 64    1.000        ['voltage', 'electrified', 'frequency']=>['gauge']
 65    1.000        ['gauge', 'electrified', 'frequency']=>['voltage']
 66    1.000        ['electrified', 'frequency']=>['gauge', 'voltage']
 67    1.000        ['usage', 'electrified', '1435']=>['gauge']
 68    1.000        ['gauge', 'usage', 'electrified']=>['1435']
 69    1.000        ['voltage', '1435', 'frequency']=>['gauge']
 70    1.000        ['gauge', 'voltage', 'frequency']=>['1435']
 71    1.000        ['gauge', '1435', 'frequency']=>['voltage']
 72    1.000        ['gauge', 'frequency']=>['voltage', '1435']
 73    1.000        ['1435', 'frequency']=>['gauge', 'voltage']
 74    1.000        ['voltage', 'frequency']=>['gauge', '1435']
 75    1.000        ['frequency']=>['gauge', 'voltage', '1435']
 76    1.000        ['voltage', 'electrified', '1435', 'frequency']=>['gauge']
 77    1.000        ['gauge', 'voltage', 'electrified', 'frequency']=>['1435']
 78    1.000        ['gauge', 'electrified', '1435', 'frequency']=>['voltage']
 79    1.000        ['gauge', 'electrified', 'frequency']=>['voltage', '1435']
 80    1.000        ['electrified', '1435', 'frequency']=>['gauge', 'voltage']
 81    1.000        ['voltage', 'electrified', 'frequency']=>['gauge', '1435']
 82    1.000        ['electrified', 'frequency']=>['gauge', 'voltage', '1435']
 83    1.000        ['main', 'usage', 'electrified', '1435']=>['gauge']
 84    1.000        ['gauge', 'usage', 'electrified', 'main']=>['1435']
 85    1.000        ['gauge', 'main', 'electrified', '1435']=>['usage']
 86    1.000        ['gauge', 'usage', 'electrified', '1435']=>['main']
 87    1.000        ['usage', 'electrified', '1435']=>['main', 'gauge']
 88    1.000        ['main', 'electrified', '1435']=>['gauge', 'usage']
 89    1.000        ['gauge', 'usage', 'electrified']=>['main', '1435']
 90    1.000        ['gauge', 'electrified', 'main']=>['usage', '1435']
 91    1.000        ['voltage']=>['electrified']
 92    1.000        ['voltage', '1435']=>['electrified']
 93    1.000        ['voltage']=>['electrified', '1435']
 94    1.000        ['gauge', 'voltage']=>['electrified']
 95    1.000        ['voltage']=>['gauge', 'electrified']
 96    1.000        ['gauge', 'voltage', '1435']=>['electrified']
 97    1.000        ['voltage', '1435']=>['gauge', 'electrified']
 98    1.000        ['gauge', 'voltage']=>['electrified', '1435']
 99    1.000        ['voltage']=>['gauge', 'electrified', '1435']
 100   1.000        ['frequency']=>['electrified']
 101   1.000        ['voltage', 'frequency']=>['electrified']
 102   1.000        ['frequency']=>['voltage', 'electrified']
 103   1.000        ['1435', 'frequency']=>['electrified']
 104   1.000        ['frequency']=>['electrified', '1435']
 105   1.000        ['gauge', 'frequency']=>['electrified']
 106   1.000        ['frequency']=>['gauge', 'electrified']
 107   1.000        ['gauge', '1435', 'frequency']=>['electrified']
 108   1.000        ['1435', 'frequency']=>['gauge', 'electrified']
 109   1.000        ['gauge', 'frequency']=>['electrified', '1435']
 110   1.000        ['frequency']=>['gauge', 'electrified', '1435']
 111   1.000        ['voltage', '1435', 'frequency']=>['electrified']
 112   1.000        ['1435', 'frequency']=>['voltage', 'electrified']
 113   1.000        ['voltage', 'frequency']=>['electrified', '1435']
 114   1.000        ['frequency']=>['voltage', 'electrified', '1435']
 115   1.000        ['gauge', 'voltage', 'frequency']=>['electrified']
 116   1.000        ['voltage', 'frequency']=>['gauge', 'electrified']
 117   1.000        ['gauge', 'frequency']=>['voltage', 'electrified']
 118   1.000        ['frequency']=>['gauge', 'voltage', 'electrified']
 119   1.000        ['gauge', 'voltage', '1435', 'frequency']=>['electrified']
 120   1.000        ['voltage', '1435', 'frequency']=>['gauge', 'electrified']
 121   1.000        ['gauge', '1435', 'frequency']=>['voltage', 'electrified']
 122   1.000        ['gauge', 'voltage', 'frequency']=>['electrified', '1435']
 123   1.000        ['gauge', 'frequency']=>['voltage', 'electrified', '1435']
 124   1.000        ['1435', 'frequency']=>['gauge', 'voltage', 'electrified']
 125   1.000        ['voltage', 'frequency']=>['gauge', 'electrified', '1435']
 126   1.000        ['frequency']=>['gauge', 'voltage', 'electrified', '1435']
 127   0.997        ['main', 'electrified']=>['1435']
 128   0.997        ['usage', 'electrified']=>['gauge']
 129   0.997        ['usage', 'electrified']=>['1435']
 130   0.997        ['main', 'electrified']=>['gauge']
 131   0.997        ['main', 'usage', 'electrified']=>['gauge']
 132   0.997        ['usage', 'electrified']=>['main', 'gauge']
 133   0.997        ['main', 'electrified']=>['gauge', 'usage']
 134   0.997        ['main', 'usage', 'electrified']=>['1435']
 135   0.997        ['usage', 'electrified']=>['main', '1435']
 136   0.997        ['main', 'electrified']=>['usage', '1435']
 137   0.997        ['main', 'electrified']=>['gauge', '1435']
 138   0.997        ['usage', 'electrified']=>['gauge', '1435']
 139   0.997        ['main', 'usage', 'electrified']=>['gauge', '1435']
 140   0.997        ['main', 'electrified']=>['gauge', 'usage', '1435']
 141   0.997        ['usage', 'electrified']=>['main', 'gauge', '1435']
 142   0.995        ['electrified']=>['gauge']
 143   0.995        ['electrified']=>['1435']
 144   0.995        ['electrified']=>['gauge', '1435']
 145   0.980        ['usage']=>['main']
 146   0.972        ['main', '1435']=>['electrified']
 147   0.972        ['gauge', 'usage']=>['electrified']
