data_length : 5551        min_support_num : 1248 
min_support : 22.50%      min_conf : 92.50% 

index  confidence   rules
 1     1.000        ['25000']=>['1435']
 2     1.000        ['50']=>['1435']
 3     1.000        ['50', '25000']=>['1435']
 4     1.000        ['50', 'contact_line']=>['1435']
 5     1.000        ['25000', 'contact_line']=>['1435']
 6     1.000        ['50', '25000', 'contact_line']=>['1435']
 7     0.999        ['25000']=>['contact_line']
 8     0.999        ['25000', '1435']=>['contact_line']
 9     0.999        ['25000']=>['contact_line', '1435']
 10    0.999        ['50']=>['contact_line']
 11    0.999        ['50', '1435']=>['contact_line']
 12    0.999        ['50']=>['contact_line', '1435']
 13    0.999        ['50', '25000']=>['contact_line']
 14    0.999        ['50', '25000', '1435']=>['contact_line']
 15    0.999        ['50', '25000']=>['contact_line', '1435']
 16    0.994        ['50']=>['25000']
 17    0.994        ['50', '1435']=>['25000']
 18    0.994        ['50']=>['25000', '1435']
 19    0.994        ['50', 'contact_line']=>['25000']
 20    0.994        ['50', 'contact_line', '1435']=>['25000']
 21    0.994        ['50', 'contact_line']=>['25000', '1435']
 22    0.993        ['50']=>['contact_line', '25000']
 23    0.993        ['50', '1435']=>['contact_line', '25000']
 24    0.993        ['50']=>['contact_line', '25000', '1435']
 25    0.992        ['contact_line']=>['1435']
 26    0.984        ['25000']=>['50']
 27    0.984        ['25000', '1435']=>['50']
 28    0.984        ['25000']=>['50', '1435']
 29    0.984        ['25000', 'contact_line']=>['50']
 30    0.984        ['25000', 'contact_line', '1435']=>['50']
 31    0.984        ['25000', 'contact_line']=>['50', '1435']
 32    0.983        ['25000']=>['50', 'contact_line']
 33    0.983        ['25000', '1435']=>['50', 'contact_line']
 34    0.983        ['25000']=>['50', 'contact_line', '1435']
 35    0.960        ['contact_line', '1435']=>['25000']
 36    0.958        ['main']=>['1435']
 37    0.952        ['contact_line']=>['25000']
 38    0.952        ['contact_line']=>['25000', '1435']
 39    0.950        ['contact_line', '1435']=>['50']
 40    0.945        ['contact_line', '1435']=>['50', '25000']
 41    0.943        ['contact_line']=>['50']
 42    0.943        ['contact_line']=>['50', '1435']
 43    0.937        ['contact_line']=>['50', '25000']
 44    0.937        ['contact_line']=>['50', '25000', '1435']
