data_length : 4484        min_support_num : 112 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 1     1.000        ['bus']=>['yes']
 2     1.000        ['stop_position']=>['public_transport']
 3     1.000        ['yes', 'stop_position']=>['public_transport']
 4     1.000        ['bus', 'stop_position']=>['yes']
 5     1.000        ['bus', 'stop_position']=>['public_transport']
 6     1.000        ['bus', 'public_transport']=>['yes']
 7     1.000        ['bus', 'public_transport', 'stop_position']=>['yes']
 8     1.000        ['bus', 'yes', 'stop_position']=>['public_transport']
 9     1.000        ['bus', 'stop_position']=>['public_transport', 'yes']
 10    0.982        ['public_transport']=>['stop_position']
 11    0.943        ['public_transport', 'yes']=>['bus']
 12    0.921        ['yes', 'stop_position']=>['bus']
 13    0.921        ['public_transport', 'yes', 'stop_position']=>['bus']
 14    0.921        ['yes', 'stop_position']=>['bus', 'public_transport']
 15    0.921        ['bus']=>['public_transport']
 16    0.921        ['bus', 'yes']=>['public_transport']
 17    0.921        ['bus']=>['public_transport', 'yes']
