index  confidence   rules
 1     1.000        ['pitch']=>['leisure']
 2     1.000        ['citywalls']=>['historic']
 3     1.000        ['traffic_signals']=>['highway']
 4     1.000        ['buffer_stop']=>['railway']
 5     1.000        ['village']=>['place']
 6     1.000        ['trunk']=>['highway']
 7     1.000        ['convenience']=>['shop']
 8     1.000        ['fast_food']=>['amenity']
 9     1.000        ['level_crossing']=>['railway']
 10    1.000        ['³¤³Ç']=>['name']
 11    1.000        ['motorway_link']=>['highway']
 12    1.000        ['trunk_link']=>['highway']
 13    1.000        ['cafe']=>['amenity']
 14    1.000        ['toilets']=>['amenity']
 15    1.000        ['restaurant']=>['amenity']
 16    1.000        ['cycleway']=>['highway']
 17    1.000        ['house']=>['building']
 18    1.000        ['secondary']=>['highway']
 19    1.000        ['pedestrian']=>['highway']
 20    1.000        ['bus_stop']=>['highway']
 21    1.000        ['tertiary_link']=>['highway']
 22    1.000        ['living_street']=>['highway']
 23    1.000        ['stop_position']=>['public_transport']
 24    1.000        ['tertiary']=>['highway']
 25    1.000        ['line']=>['power']
 26    1.000        ['unclassified']=>['highway']
 27    1.000        ['service']=>['highway']
 28    1.000        ['restriction']=>['type']
 29    1.000        ['route_master']=>['type']
 30    1.000        ['primary_link']=>['highway']
 31    1.000        ['stop_area']=>['public_transport']
 32    1.000        ['footway']=>['highway']
 33    1.000        ['water']=>['natural']
 34    1.000        ['basketball']=>['sport']
 35    1.000        ['multipolygon']=>['type']
 36    1.000        ['steps']=>['highway']
 37    1.000        ['motorway']=>['highway']
 38    1.000        ['taxiway']=>['aeroway']
 39    1.000        ['path']=>['highway']
 40    1.000        ['city_wall']=>['barrier']
 41    1.000        ['subway_entrance']=>['railway']
 42    1.000        ['fuel']=>['amenity']
 43    1.000        ['tree']=>['natural']
 44    1.000        ['rail']=>['railway']
 45    1.000        ['apartments']=>['building']
 46    1.000        ['attraction']=>['tourism']
 47    1.000        ['wood']=>['natural']
 48    1.000        ['bank']=>['amenity']
 49    1.000        ['primary']=>['highway']
 50    1.000        ['surface']=>['parking']
 51    1.000        ['fence']=>['barrier']
 52    1.000        ['river']=>['waterway']
 53    1.000        ['secondary_link']=>['highway']
 54    1.000        ['motorway_junction']=>['highway']
 55    1.000        ['supermarket']=>['shop']
 56    0.998        ['grass']=>['landuse']
 57    0.996        ['stop']=>['railway']
 58    0.996        ['park']=>['leisure']
 59    0.989        ['toll_booth']=>['barrier']
 60    0.982        ['area']=>['yes']
 61    0.971        ['crossing']=>['highway']
 62    0.969        ['subway']=>['railway']
 63    0.961        ['hotel']=>['tourism']
 64    0.959        ['yes']=>['building']
 65    0.916        ['power']=>['tower']
 66    0.904        ['gate']=>['barrier']
 67    0.902        ['track']=>['highway']
 68    0.881        ['tower']=>['power']
 69    0.867        ['industrial']=>['landuse']
 70    0.860        ['bus']=>['route']
 71    0.844        ['building']=>['yes']
 72    0.829        ['foot']=>['yes']
 73    0.820        ['wall']=>['barrier']
 74    0.767        ['parking']=>['amenity']
 75    0.741        ['place']=>['village']
 76    0.722        ['university']=>['building']
 77    0.719        ['man_made']=>['tower']
 78    0.712        ['school']=>['amenity']
 79    0.702        ['residential']=>['highway']
 80    0.625        ['station']=>['railway']
 81    0.613        ['commercial']=>['building']
 82    0.525        ['aeroway']=>['taxiway']
 83    0.513        ['route']=>['type']
 84    0.500        ['platform']=>['public_transport']
