index  confidence   rules
 1     1.000        ['layer']=>['name:zh']
 2     1.000        ['wikidata']=>['name']
 3     1.000        ['name:zh']=>['name:zh-Hant']
 4     1.000        ['name:zh-Hant']=>['name:zh']
 5     1.000        ['building']=>['name']
 6     1.000        ['name:zh']=>['name:zh-Hans']
 7     1.000        ['name:zh-Hans']=>['name:zh']
 8     1.000        ['bridge:structure']=>['name:zh']
 9     1.000        ['name:zh']=>['bridge:structure']
 10    1.000        ['bridge']=>['name:zh']
 11    1.000        ['name:zh']=>['bridge']
 12    1.000        ['name:zh']=>['name']
 13    1.000        ['bridge']=>['name:zh-Hant']
 14    1.000        ['name:zh-Hant']=>['bridge']
 15    1.000        ['name:zh-Hant']=>['name']
 16    1.000        ['building']=>['aeroway']
 17    1.000        ['aeroway']=>['building']
 18    1.000        ['bridge']=>['name:zh-Hans']
 19    1.000        ['name:zh-Hans']=>['bridge']
 20    1.000        ['bridge']=>['name']
 21    1.000        ['building']=>['wikidata']
 22    1.000        ['wikidata']=>['building']
 23    1.000        ['public_transport']=>['name']
 24    1.000        ['name:zh-Hans']=>['name']
 25    1.000        ['layer']=>['name:zh-Hans']
 26    1.000        ['layer']=>['bridge:structure']
 27    1.000        ['bridge:structure']=>['name:zh-Hant']
 28    1.000        ['name:zh-Hant']=>['bridge:structure']
 29    1.000        ['bridge:structure']=>['name:zh-Hans']
 30    1.000        ['name:zh-Hans']=>['bridge:structure']
 31    1.000        ['aeroway']=>['name']
 32    1.000        ['layer']=>['name:zh-Hant']
 33    1.000        ['bridge']=>['bridge:structure']
 34    1.000        ['bridge:structure']=>['bridge']
 35    1.000        ['bridge:structure']=>['name']
 36    1.000        ['layer']=>['bridge']
 37    1.000        ['layer']=>['name']
 38    1.000        ['aeroway']=>['wikidata']
 39    1.000        ['wikidata']=>['aeroway']
 40    1.000        ['name:zh-Hant']=>['name:zh-Hans']
 41    1.000        ['name:zh-Hans']=>['name:zh-Hant']
 42    1.000        ['name', 'layer']=>['name:zh-Hant']
 43    1.000        ['layer', 'name:zh-Hant']=>['name']
 44    1.000        ['layer']=>['name', 'name:zh-Hant']
 45    1.000        ['bridge:structure', 'layer']=>['name:zh-Hans']
 46    1.000        ['name:zh-Hans', 'layer']=>['bridge:structure']
 47    1.000        ['layer']=>['bridge:structure', 'name:zh-Hans']
 48    1.000        ['name', 'building']=>['wikidata']
 49    1.000        ['wikidata', 'building']=>['name']
 50    1.000        ['name', 'wikidata']=>['building']
 51    1.000        ['building']=>['name', 'wikidata']
 52    1.000        ['wikidata']=>['name', 'building']
 53    1.000        ['layer', 'name:zh-Hant']=>['name:zh-Hans']
 54    1.000        ['name:zh-Hans', 'layer']=>['name:zh-Hant']
 55    1.000        ['layer']=>['name:zh-Hans', 'name:zh-Hant']
 56    1.000        ['name', 'name:zh-Hant']=>['name:zh-Hans']
