index  confidence   rules
 1     1.000        ['no_u_turn']=>['restriction']
 2     0.999        ['stop_area']=>['public_transport']
 3     0.999        ['BJBUS']=>['route_master']
 4     0.999        ['BJBUS', 'bus']=>['route_master']
 5     0.982        ['BJBUS']=>['bus']
 6     0.982        ['BJBUS', 'route_master']=>['bus']
 7     0.981        ['public_transport']=>['stop_area']
 8     0.981        ['BJBUS']=>['bus', 'route_master']
 9     0.976        ['bus', 'route_master']=>['BJBUS']
 10    0.956        ['route_master']=>['bus']
 11    0.950        ['route_master']=>['BJBUS']
 12    0.933        ['route_master']=>['BJBUS', 'bus']
 13    0.916        ['route']=>['bus']
