index  confidence   rules
 1     1.000        ['lanes', 'oneway']=>['highway']
 2     1.000        ['lanes']=>['highway']
 3     0.998        ['oneway', 'name']=>['highway']
 4     0.998        ['oneway']=>['highway']
 5     0.993        ['building:levels']=>['building']
 6     0.978        ['highway', 'name:en']=>['name']
 7     0.971        ['name:en']=>['name']
 8     0.937        ['lanes', 'highway']=>['oneway']
 9     0.937        ['lanes']=>['oneway']
 10    0.937        ['lanes']=>['oneway', 'highway']
 11    0.925        ['ref']=>['highway']
 12    0.893        ['highway', 'layer']=>['bridge']
 13    0.885        ['layer', 'bridge']=>['highway']
 14    0.853        ['bridge']=>['highway']
 15    0.835        ['highway', 'bridge']=>['layer']
 16    0.805        ['bridge']=>['layer']
 17    0.771        ['layer']=>['bridge']
 18    0.765        ['layer']=>['highway']
 19    0.712        ['bridge']=>['highway', 'layer']
 20    0.707        ['name', 'name:en']=>['highway']
 21    0.702        ['name:en']=>['highway']
